จังหวัด,ปี,เดือน,ละติจูด,ลองจิจูด,คลอโรฟิลล์-เอ,อุณหภูมิผิวทะเล
เพรชบุรี,2566,ตุลาคม,13.0,100.18,2.06,30.06
เพรชบุรี,2566,พฤศจิกายน,13.0,100.18,4.43,30.4
เพรชบุรี,2566,ธันวาคม,13.0,100.18,1.80,29.33
สมุทรสงคราม,2562,มกราคม,13.30,100.10,12.26,28.47
สมุทรสงคราม,2562,กุมภาพันธ์,13.30,100.10,3.85,28.92
สมุทรสงคราม,2562,มีนาคม,13.30,100.10,3.90,30.06
สมุทรสงคราม,2562,เมษายน,13.30,100.10,6.80,32.03
สมุทรสงคราม,2562,พฤษภาคม,13.30,100.10,6.30,30.24
สมุทรสงคราม,2562,มิถุนายน,13.30,100.10,7.43,30.92
สมุทรสงคราม,2562,กรกฎาคม,13.30,100.10,9.18,30.50
สมุทรสงคราม,2562,กันยายน,13.30,100.10,2.90,28.81
สมุทรสงคราม,2562,ตุลาคม,13.30,100.10,7.03,30.76
สมุทรสงคราม,2562,พฤศจิกายน,13.30,100.10,7.00,29.12
สมุทรสงคราม,2562,ธันวาคม,13.30,100.10,3.33,26.36
สมุทรสงคราม,2563,มกราคม,13.30,100.10,5.51,28.55
สมุทรสงคราม,2563,กุมภาพันธ์,13.30,100.10,3.88,28.50
สมุทรสงคราม,2563,มีนาคม,13.30,100.10,2.87,29.54
สมุทรสงคราม,2563,เมษายน,13.30,100.10,2.85,30.56
สมุทรสงคราม,2563,พฤษภาคม,13.30,100.10,5.25,31.32
สมุทรสงคราม,2563,มิถุนายน,13.30,100.10,5.00,30.39
สมุทรสงคราม,2563,กรกฎาคม,13.30,100.10,5.00,30.42
สมุทรสงคราม,2563,สิงหาคม,13.30,100.10,11.00,29.57
สมุทรสงคราม,2563,กันยายน,13.30,100.10,7.47,31.26
สมุทรสงคราม,2563,ตุลาคม,13.30,100.10,5.19,29.77
สมุทรสงคราม,2563,พฤศจิกายน,13.30,100.10,3.56,27.96
สมุทรสงคราม,2563,ธันวาคม,13.30,100.10,3.35,27.35
สมุทรสงคราม,2564,มกราคม,13.30,100.10,3.60,25.38
สมุทรสงคราม,2564,กุมภาพันธ์,13.30,100.10,3.06,28.09
สมุทรสงคราม,2564,มีนาคม,13.30,100.10,3.55,29.59
สมุทรสงคราม,2564,เมษายน,13.30,100.10,4.75,30.47
สมุทรสงคราม,2564,พฤษภาคม,13.30,100.10,6.84,31.72
สมุทรสงคราม,2564,มิถุนายน,13.30,100.10,5.23,31.06
สมุทรสงคราม,2564,กรกฎาคม,13.30,100.10,4.10,29.89
สมุทรสงคราม,2564,สิงหาคม,13.30,100.10,6.69,29.67
สมุทรสงคราม,2564,กันยายน,13.30,100.10,4.36,29.79
สมุทรสงคราม,2564,ตุลาคม,13.30,100.10,2.65,28.69
สมุทรสงคราม,2564,พฤศจิกายน,13.30,100.10,2.29,29.80
สมุทรสงคราม,2564,ธันวาคม,13.30,100.10,4.66,26.87
สมุทรสงคราม,2565,มกราคม,13.30,100.10,3.72,27.98
สมุทรสงคราม,2565,กุมภาพันธ์,13.30,100.10,4.00,29.85
สมุทรสงคราม,2565,มีนาคม,13.30,100.10,5.46,29.02
สมุทรสงคราม,2565,เมษายน,13.30,100.10,4.20,30.79
สมุทรสงคราม,2565,พฤษภาคม,13.30,100.10,4.87,30.39
สมุทรสงคราม,2565,มิถุนายน,13.30,100.10,6.71,30.67
สมุทรสงคราม,2565,กรกฎาคม,13.30,100.10,4.23,30.02
สมุทรสงคราม,2565,สิงหาคม,13.30,100.10,10.45,29.90
สมุทรสงคราม,2565,กันยายน,13.30,100.10,5.02,29.81
สมุทรสงคราม,2565,ตุลาคม,13.30,100.10,3.03,29.70
สมุทรสงคราม,2565,พฤศจิกายน,13.30,100.10,2.15,29.65
สมุทรสงคราม,2565,ธันวาคม,13.30,100.10,3.90,27.61
สมุทรสงคราม,2566,มกราคม,13.30,100.10,4.19,26.84
สมุทรสงคราม,2566,มีนาคม,13.30,100.10,3.04,28.55
สมุทรสงคราม,2566,เมษายน,13.30,100.10,3.34,31.24
สมุทรสงคราม,2566,พฤษภาคม,13.30,100.10,4.28,31.00
สมุทรสงคราม,2566,มิถุนายน,13.30,100.10,3.35,30.10
สมุทรสงคราม,2566,กรกฎาคม,13.30,100.10,4.80,30.30
สมุทรสงคราม,2566,สิงหาคม,13.30,100.10,7.75,30.90
สมุทรสงคราม,2566,กันยายน,13.30,100.10,4.65,29.82
สมุทรสงคราม,2566,ตุลาคม,13.30,100.10,12.15,30.15
สมุทรสงคราม,2566,พฤศจิกายน,13.30,100.10,3.24,29.92
สมุทรสงคราม,2566,ธันวาคม,13.30,100.10,2.65,28.80
สมุทรสาคร,2562,มกราคม,13.40,100.30,12.09,28.30
สมุทรสาคร,2562,กุมภาพันธ์,13.40,100.30,3.92,29.10
สมุทรสาคร,2562,มีนาคม,13.40,100.30,5.53,30.01
สมุทรสาคร,2562,เมษายน,13.40,100.30,14.58,32.28
สมุทรสาคร,2562,พฤษภาคม,13.40,100.30,11.33,30.44
สมุทรสาคร,2562,มิถุนายน,13.40,100.30,11.27,30.97
สมุทรสาคร,2562,ตุลาคม,13.40,100.30,8.17,30.59
สมุทรสาคร,2562,พฤศจิกายน,13.40,100.30,7.80,28.98
สมุทรสาคร,2562,ธันวาคม,13.40,100.30,4.15,26.59
สมุทรสาคร,2563,มกราคม,13.40,100.30,4.80,28.37
สมุทรสาคร,2563,กุมภาพันธ์,13.40,100.30,5.06,28.29
สมุทรสาคร,2563,มีนาคม,13.40,100.30,3.47,29.78
สมุทรสาคร,2563,เมษายน,13.40,100.30,3.96,3.52
สมุทรสาคร,2563,พฤษภาคม,13.40,100.30,7.90,31.60
สมุทรสาคร,2563,มิถุนายน,13.40,100.30,8.26,30.37
สมุทรสาคร,2563,ตุลาคม,13.40,100.30,12.39,29.83
สมุทรสาคร,2563,พฤศจิกายน,13.40,100.30,6.24,27.52
สมุทรสาคร,2563,ธันวาคม,13.40,100.30,4.29,27.48
สมุทรสาคร,2564,มกราคม,13.40,100.30,3.62,25.30
สมุทรสาคร,2564,กุมภาพันธ์,13.40,100.30,4.81,28.24
สมุทรสาคร,2564,มีนาคม,13.40,100.30,3.47,29.78
สมุทรสาคร,2564,เมษายน,13.40,100.30,8.74,31.46
สมุทรสาคร,2564,พฤษภาคม,13.40,100.30,5.80,31.83
สมุทรสาคร,2564,มิถุนายน,13.40,100.30,11.55,31.15
สมุทรสาคร,2564,กรกฎาคม,13.40,100.30,17.15,29.94
สมุทรสาคร,2564,สิงหาคม,13.40,100.30,13.42,29.82
สมุทรสาคร,2564,กันยายน,13.40,100.30,7.43,29.77
สมุทรสาคร,2564,ตุลาคม,13.40,100.30,4.64,28.72
สมุทรสาคร,2564,พฤศจิกายน,13.40,100.30,3.17,29.91
สมุทรสาคร,2564,ธันวาคม,13.40,100.30,6.01,26.90
สมุทรสาคร,2565,มกราคม,13.40,100.30,5.28,27.90
สมุทรสาคร,2565,กุมภาพันธ์,13.40,100.30,4.71,29.14
สมุทรสาคร,2565,มีนาคม,13.40,100.30,6.53,30.20
สมุทรสาคร,2565,เมษายน,13.40,100.30,5.85,30.80
สมุทรสาคร,2565,พฤษภาคม,13.40,100.30,5.69,30.40
สมุทรสาคร,2565,มิถุนายน,13.40,100.30,10.60,30.69
สมุทรสาคร,2565,กรกฎาคม,13.40,100.30,5.54,30.03
สมุทรสาคร,2565,สิงหาคม,13.40,100.30,11.62,29.74
สมุทรสาคร,2565,กันยายน,13.40,100.30,17.07,29.90
สมุทรสาคร,2565,ตุลาคม,13.40,100.30,7.02,29.56
สมุทรสาคร,2565,พฤศจิกายน,13.40,100.30,2.37,29.69
สมุทรสาคร,2565,ธันวาคม,13.40,100.30,4.97,27.61
สมุทรสาคร,2566,มกราคม,13.40,100.30,4.84,26.73
สมุทรสาคร,2566,มีนาคม,13.40,100.30,4.00,28.64
สมุทรสาคร,2566,เมษายน,13.40,100.30,5.10,30.65
สมุทรสาคร,2566,พฤษภาคม,13.40,100.30,6.06,30.97
สมุทรสาคร,2566,มิถุนายน,13.40,100.30,4.86,30.12
สมุทรสาคร,2566,กรกฎาคม,13.40,100.30,13.02,30.36
สมุทรสาคร,2566,สิงหาคม,13.40,100.30,16.01,31.28
สมุทรสาคร,2566,พฤศจิกายน,13.40,100.30,5.48,30.52
สมุทรสาคร,2566,ธันวาคม,13.40,100.30,5.48,28.53
ชลบุรี,2562,มกราคม,13.20,100.82,2.37,28.44
ชลบุรี,2562,กุมภาพันธ์,13.20,100.82,3.67,28.56
ชลบุรี,2562,มีนาคม,13.20,100.82,11.11,29.74
ชลบุรี,2562,เมษายน,13.20,100.82,6.45,31.07
ชลบุรี,2562,พฤษภาคม,13.20,100.82,4.45,30.45
ชลบุรี,2562,มิถุนายน,13.20,100.82,7.72,31.25
ชลบุรี,2562,กรกฎาคม,13.20,100.82,20.53,29.99
ชลบุรี,2562,กันยายน,13.20,100.82,7.42,29.40
ชลบุรี,2562,ตุลาคม,13.20,100.82,1.48,29.98
ชลบุรี,2562,พฤศจิกายน,13.20,100.82,1.33,29.24
ชลบุรี,2562,ธันวาคม,13.20,100.82,1.29,27.26
ชลบุรี,2563,มกราคม,13.20,100.82,3.58,28.31
ชลบุรี,2563,กุมภาพันธ์,13.20,100.82,3.33,28.62
ชลบุรี,2563,มีนาคม,13.20,100.82,4.03,29.29
ชลบุรี,2563,เมษายน,13.20,100.82,2.70,30.54
ชลบุรี,2563,พฤษภาคม,13.20,100.82,4.15,30.89
ชลบุรี,2563,มิถุนายน,13.20,100.82,8.58,30.43
ชลบุรี,2563,กรกฎาคม,13.20,100.82,6.82,30.62
ชลบุรี,2563,สิงหาคม,13.20,100.82,3.84,29.57
ชลบุรี,2563,กันยายน,13.20,100.82,6.38,30.73
ชลบุรี,2563,ตุลาคม,13.20,100.82,3.42,29.85
ชลบุรี,2563,พฤศจิกายน,13.20,100.82,1.28,27.65
ชลบุรี,2563,ธันวาคม,13.20,100.82,1.32,28.15
ชลบุรี,2564,มกราคม,13.20,100.82,1.32,26.18
ชลบุรี,2564,กุมภาพันธ์,13.20,100.82,1.30,27.68
ชลบุรี,2564,มีนาคม,13.20,100.82,2.36,29.59
ชลบุรี,2564,เมษายน,13.20,100.82,6.91,30.53
ชลบุรี,2564,พฤษภาคม,13.20,100.82,2.60,31.25
ชลบุรี,2564,มิถุนายน,13.20,100.82,15.64,30.86
ชลบุรี,2564,กรกฎาคม,13.20,100.82,10.56,30.00
ชลบุรี,2564,สิงหาคม,13.20,100.82,3.55,29.48
ชลบุรี,2564,กันยายน,13.20,100.82,4.03,29.47
ชลบุรี,2564,ตุลาคม,13.20,100.82,4.72,28.88
ชลบุรี,2564,พฤศจิกายน,13.20,100.82,2.23,29.55
ชลบุรี,2564,ธันวาคม,13.20,100.82,1.37,27.39
ชลบุรี,2565,มกราคม,13.20,100.82,1.37,27.77
ชลบุรี,2565,กุมภาพันธ์,13.20,100.82,2.60,29.31
ชลบุรี,2565,มีนาคม,13.20,100.82,5.85,29.33
ชลบุรี,2565,เมษายน,13.20,100.82,3.06,30.70
ชลบุรี,2565,พฤษภาคม,13.20,100.82,2.70,30.08
ชลบุรี,2565,มิถุนายน,13.20,100.82,5.14,30.77
ชลบุรี,2565,กรกฎาคม,13.20,100.82,4.36,30.11
ชลบุรี,2565,สิงหาคม,13.20,100.82,16.03,29.44
ชลบุรี,2565,กันยายน,13.20,100.82,7.30,29.83
ชลบุรี,2565,ตุลาคม,13.20,100.82,4.48,29.83
ชลบุรี,2565,พฤศจิกายน,13.20,100.82,1.74,29.80
ชลบุรี,2565,ธันวาคม,13.20,100.82,1.80,28.65
ชลบุรี,2566,มกราคม,13.20,100.82,1.60,26.84
ชลบุรี,2566,มีนาคม,13.20,100.82,2.75,28.32
ชลบุรี,2566,เมษายน,13.20,100.82,2.86,30.26
ชลบุรี,2566,พฤษภาคม,13.20,100.82,5.37,31.03
ชลบุรี,2566,มิถุนายน,13.20,100.82,3.04,30.38
ชลบุรี,2566,กรกฎาคม,13.20,100.82,7.90,30.53
ชลบุรี,2566,สิงหาคม,13.20,100.82,7.87,31.44
ชลบุรี,2566,กันยายน,13.20,100.82,18.80,30.15
ชลบุรี,2566,ตุลาคม,13.20,100.82,3.57,29.66
ชลบุรี,2566,พฤศจิกายน,13.20,100.82,2.03,30.30
ชลบุรี,2566,ธันวาคม,13.20,100.82,1.17,29.66
สมุทรปราการ,2562,มกราคม,13.45,100.70,7.51,28.98
สมุทรปราการ,2562,กุมภาพันธ์,13.45,100.70,7.16,28.99
สมุทรปราการ,2562,มีนาคม,13.45,100.70,17.07,29.60
สมุทรปราการ,2562,เมษายน,13.45,100.70,15.81,31.88
สมุทรปราการ,2562,พฤษภาคม,13.45,100.70,44.58,30.46
สมุทรปราการ,2562,มิถุนายน,13.45,100.70,22.76,31.00
สมุทรปราการ,2562,กันยายน,13.45,100.70,30.80,29.60
สมุทรปราการ,2562,ตุลาคม,13.45,100.70,8.05,30.28
สมุทรปราการ,2562,พฤศจิกายน,13.45,100.70,3.55,28.83
สมุทรปราการ,2562,ธันวาคม,13.45,100.70,3.20,26.48
สมุทรปราการ,2563,มกราคม,13.45,100.70,10.75,28.83
สมุทรปราการ,2563,กุมภาพันธ์,13.45,100.70,29.84,28.35
สมุทรปราการ,2563,มีนาคม,13.45,100.70,9.92,29.63
สมุทรปราการ,2563,เมษายน,13.45,100.70,9.21,30.29
สมุทรปราการ,2563,พฤษภาคม,13.45,100.70,15.43,31.07
สมุทรปราการ,2563,มิถุนายน,13.45,100.70,10.62,30.35
สมุทรปราการ,2563,สิงหาคม,13.45,100.70,17.48,29.48
สมุทรปราการ,2563,ตุลาคม,13.45,100.70,7.40,29.83
สมุทรปราการ,2563,พฤศจิกายน,13.45,100.70,4.57,27.49
สมุทรปราการ,2563,ธันวาคม,13.45,100.70,3.10,28.24
สมุทรปราการ,2564,มกราคม,13.45,100.70,3.30,25.13
สมุทรปราการ,2564,กุมภาพันธ์,13.45,100.70,3.94,28.20
สมุทรปราการ,2564,มีนาคม,13.45,100.70,6.22,29.12
สมุทรปราการ,2564,เมษายน,13.45,100.70,5.17,30.67
สมุทรปราการ,2564,พฤษภาคม,13.45,100.70,12.37,31.88
สมุทรปราการ,2564,มิถุนายน,13.45,100.70,27.45,31.24
สมุทรปราการ,2564,กรกฎาคม,13.45,100.70,13.17,30.01
สมุทรปราการ,2564,สิงหาคม,13.45,100.70,10.88,29.90
สมุทรปราการ,2564,กันยายน,13.45,100.70,8.41,29.60
สมุทรปราการ,2564,ตุลาคม,13.45,100.70,7.18,28.77
สมุทรปราการ,2564,พฤศจิกายน,13.45,100.70,3.94,29.80
สมุทรปราการ,2564,ธันวาคม,13.45,100.70,4.15,26.78
สมุทรปราการ,2565,มกราคม,13.45,100.70,5.07,28.07
สมุทรปราการ,2565,กุมภาพันธ์,13.45,100.70,4.70,29.27
สมุทรปราการ,2565,มีนาคม,13.45,100.70,9.62,30.13
สมุทรปราการ,2565,เมษายน,13.45,100.70,7.32,31.05
สมุทรปราการ,2565,มิถุนายน,13.45,100.70,13.73,30.73
สมุทรปราการ,2565,กรกฎาคม,13.45,100.70,7.98,30.02
สมุทรปราการ,2565,สิงหาคม,13.45,100.70,12.26,29.24
สมุทรปราการ,2565,กันยายน,13.45,100.70,13.34,29.71
สมุทรปราการ,2565,ตุลาคม,13.45,100.70,2.65,29.48
สมุทรปราการ,2565,พฤศจิกายน,13.45,100.70,7.50,29.76
สมุทรปราการ,2565,ธันวาคม,13.45,100.70,4.01,27.46
สมุทรปราการ,2566,มกราคม,13.45,100.70,3.45,27.34
สมุทรปราการ,2566,มีนาคม,13.45,100.70,5.13,28.69
สมุทรปราการ,2566,เมษายน,13.45,100.70,7.13,30.21
สมุทรปราการ,2566,พฤษภาคม,13.45,100.70,6.20,30.97
สมุทรปราการ,2566,มิถุนายน,13.45,100.70,8.09,30.13
สมุทรปราการ,2566,กรกฎาคม,13.45,100.70,13.66,30.45
สมุทรปราการ,2566,สิงหาคม,13.45,100.70,12.03,31.79
สมุทรปราการ,2566,กันยายน,13.45,100.70,45.07,30.23
สมุทรปราการ,2566,ตุลาคม,13.45,100.70,3.54,29.59
สมุทรปราการ,2566,พฤศจิกายน,13.45,100.70,4.45,30.12
สมุทรปราการ,2566,ธันวาคม,13.45,100.70,3.17,29.71
